,node-value,cluster-label
195,195,0
196,196,0
197,197,0
198,198,0
199,199,0
200,200,0
201,201,0
202,202,0
203,203,0
204,204,0
205,205,0
206,206,0
207,207,0
208,208,0
209,209,0
210,210,0
211,211,0
212,212,0
173,173,0
174,174,0
175,175,0
176,176,0
177,177,0
178,178,0
179,179,0
180,180,0
96,96,0
97,97,0
98,98,0
99,99,0
100,100,0
101,101,0
102,102,0
103,103,0
104,104,0
105,105,0
106,106,0
107,107,0
108,108,0
109,109,0
110,110,0
111,111,0
112,112,0
113,113,0
114,114,0
115,115,0
116,116,0
117,117,0
81,81,0
82,82,0
83,83,0
84,84,0
85,85,0
86,86,0
87,87,0
88,88,0
89,89,0
90,90,0
91,91,0
92,92,0
93,93,0
94,94,0
95,95,0
418,418,1
419,419,1
420,420,1
421,421,1
422,422,1
423,423,1
424,424,1
425,425,1
426,426,1
437,437,1
436,436,1
435,435,1
434,434,1
433,433,1
432,432,1
431,431,1
400,400,1
401,401,1
402,402,1
403,403,1
404,404,1
405,405,1
406,406,1
407,407,1
409,409,1
410,410,1
411,411,1
412,412,1
413,413,1
414,414,1
415,415,1
383,383,1
368,368,1
369,369,1
370,370,1
371,371,1
372,372,1
373,373,1
374,374,1
327,327,1
376,376,1
377,377,1
378,378,1
379,379,1
380,380,1
381,381,1
382,382,1
416,416,1
330,330,1
331,331,1
332,332,1
333,333,1
334,334,1
336,336,1
337,337,1
338,338,1
339,339,1
340,340,1
341,341,1
342,342,1
295,295,1
344,344,1
345,345,1
346,346,1
347,347,1
348,348,1
349,349,1
375,375,1
298,298,1
299,299,1
300,300,1
301,301,1
302,302,1
319,319,1
304,304,1
305,305,1
306,306,1
307,307,1
308,308,1
309,309,1
310,310,1
263,263,1
312,312,1
313,313,1
314,314,1
315,315,1
316,316,1
317,317,1
318,318,1
335,335,1
320,320,1
321,321,1
322,322,1
323,323,1
324,324,1
325,325,1
326,326,1
343,343,1
328,328,1
329,329,1
221,221,1
222,222,1
223,223,1
213,213,1
214,214,1
215,215,1
266,266,1
267,267,1
268,268,1
269,269,1
270,270,1
287,287,1
272,272,1
273,273,1
274,274,1
275,275,1
276,276,1
277,277,1
278,278,1
231,231,1
280,280,1
281,281,1
282,282,1
283,283,1
284,284,1
285,285,1
286,286,1
303,303,1
288,288,1
289,289,1
290,290,1
291,291,1
292,292,1
293,293,1
294,294,1
311,311,1
296,296,1
297,297,1
216,216,1
217,217,1
218,218,1
219,219,1
220,220,1
170,170,1
171,171,1
172,172,1
239,239,1
224,224,1
225,225,1
226,226,1
227,227,1
228,228,1
229,229,1
230,230,1
247,247,1
232,232,1
233,233,1
234,234,1
235,235,1
236,236,1
237,237,1
238,238,1
255,255,1
240,240,1
241,241,1
242,242,1
243,243,1
244,244,1
245,245,1
246,246,1
248,248,1
249,249,1
250,250,1
251,251,1
252,252,1
253,253,1
254,254,1
271,271,1
256,256,1
257,257,1
258,258,1
259,259,1
260,260,1
261,261,1
262,262,1
279,279,1
264,264,1
265,265,1
384,384,1
385,385,1
386,386,1
387,387,1
388,388,1
389,389,1
390,390,1
391,391,1
392,392,1
393,393,1
394,394,1
417,417,1
430,430,1
429,429,1
428,428,1
395,395,1
396,396,1
397,397,1
398,398,1
399,399,1
427,427,1
408,408,1
155,155,2
156,156,2
120,120,2
121,121,2
127,127,2
118,118,2
119,119,2
152,152,2
153,153,2
154,154,2
124,124,2
125,125,2
126,126,2
122,122,2
123,123,2
133,133,2
134,134,2
135,135,2
141,141,2
142,142,2
143,143,2
150,150,2
151,151,2
158,158,2
159,159,2
128,128,2
129,129,2
130,130,2
131,131,2
132,132,2
149,149,2
147,147,2
148,148,2
136,136,2
137,137,2
138,138,2
139,139,2
140,140,2
157,157,2
168,168,2
169,169,2
160,160,2
161,161,2
162,162,2
163,163,2
164,164,2
165,165,2
166,166,2
167,167,2
144,144,2
145,145,2
146,146,2
39,39,3
28,28,3
29,29,3
30,30,3
31,31,3
20,20,3
21,21,3
22,22,3
23,23,3
24,24,3
25,25,3
26,26,3
48,48,3
49,49,3
51,51,3
52,52,3
53,53,3
42,42,3
43,43,3
44,44,3
45,45,3
50,50,3
46,46,3
41,41,3
40,40,3
38,38,3
37,37,3
36,36,3
35,35,3
34,34,3
33,33,3
32,32,3
47,47,3
27,27,3
59,59,4
58,58,4
63,63,4
55,55,4
60,60,4
78,78,4
77,77,4
67,67,4
76,76,4
54,54,4
56,56,4
57,57,4
62,62,4
61,61,4
75,75,4
74,74,4
65,65,4
66,66,4
73,73,4
79,79,4
64,64,4
68,68,4
70,70,4
71,71,4
80,80,4
72,72,4
69,69,4
15,15,5
17,17,5
1,1,5
10,10,5
16,16,5
4,4,5
3,3,5
18,18,5
2,2,5
14,14,5
0,0,5
12,12,5
13,13,5
11,11,5
9,9,5
7,7,5
8,8,5
5,5,5
6,6,5
19,19,5
190,190,6
191,191,6
194,194,6
181,181,6
192,192,6
188,188,6
183,183,6
182,182,6
184,184,6
187,187,6
186,186,6
185,185,6
193,193,6
189,189,6
366,366,7
365,365,7
359,359,7
350,350,7
361,361,7
360,360,7
357,357,7
358,358,7
356,356,7
355,355,7
367,367,7
364,364,7
362,362,7
363,363,7
351,351,7
353,353,7
352,352,7
354,354,7
