,node-value,cluster-label
228,228,0
256,256,0
134,134,0
139,139,0
125,125,0
386,386,1
214,214,1
66,66,1
199,199,3
204,204,3
414,414,4
189,189,4
182,182,4
205,205,4
437,437,4
123,123,4
4,4,4
421,421,6
114,114,6
176,176,6
121,121,7
224,224,7
197,197,7
282,282,8
153,153,8
281,281,8
140,140,9
215,215,9
141,141,9
117,117,9
65,65,10
91,91,10
84,84,11
368,368,11
369,369,11
370,370,11
429,429,12
424,424,12
12,12,12
420,420,12
410,410,12
411,411,12
9,9,12
11,11,12
29,29,12
24,24,12
21,21,12
82,82,12
32,32,12
406,406,12
106,106,12
104,104,12
384,384,12
383,383,12
374,374,12
378,378,12
373,373,12
108,108,12
86,86,12
83,83,12
68,68,12
67,67,12
64,64,12
87,87,12
74,74,12
72,72,12
75,75,12
77,77,12
110,110,12
371,371,12
60,60,12
59,59,12
63,63,12
62,62,12
399,399,12
402,402,12
391,391,12
394,394,12
396,396,12
167,167,12
158,158,12
160,160,12
161,161,12
340,340,12
169,169,12
170,170,12
119,119,12
120,120,12
57,57,12
53,53,12
361,361,12
360,360,12
367,367,12
88,88,12
98,98,12
96,96,12
90,90,12
92,92,12
387,387,12
436,436,12
305,305,12
304,304,12
243,243,12
299,299,12
300,300,12
301,301,12
302,302,12
303,303,12
297,297,12
298,298,12
296,296,12
265,265,12
264,264,12
269,269,12
272,272,12
295,295,12
254,254,12
259,259,12
262,262,12
263,263,12
261,261,12
276,276,12
277,277,12
278,278,12
279,279,12
206,206,12
294,294,12
203,203,12
241,241,12
239,239,12
320,320,12
293,293,12
330,330,12
326,326,12
212,212,12
217,217,12
318,318,12
319,319,12
315,315,12
317,317,12
321,321,12
196,196,12
338,338,12
177,177,12
174,174,12
337,337,12
195,195,12
336,336,12
188,188,12
183,183,12
180,180,12
194,194,12
325,325,12
341,341,12
342,342,12
192,192,12
344,344,12
346,346,12
347,347,12
352,352,12
163,163,12
164,164,12
165,165,12
166,166,12
412,412,12
280,280,12
50,50,12
49,49,12
48,48,12
47,47,12
41,41,12
38,38,12
434,434,12
36,36,12
418,418,12
275,275,12
274,274,12
273,273,12
390,390,12
388,388,12
285,285,12
286,286,12
283,283,12
284,284,12
287,287,12
288,288,12
130,130,13
129,129,13
334,334,13
415,415,13
102,102,13
122,122,13
220,220,14
219,219,14
198,198,14
211,211,14
179,179,14
168,168,14
27,27,14
132,132,14
19,19,14
2,2,14
80,80,14
427,427,14
363,363,14
94,94,14
210,210,14
178,178,14
95,95,14
20,20,15
23,23,15
25,25,15
85,85,15
70,70,15
380,380,15
71,71,15
76,76,15
78,78,15
73,73,15
31,31,15
435,435,15
16,16,15
426,426,15
17,17,15
10,10,15
34,34,15
289,289,15
290,290,15
143,143,15
142,142,15
138,138,15
137,137,15
155,155,15
149,149,15
148,148,15
144,144,15
55,55,15
398,398,15
395,395,15
56,56,15
392,392,15
364,364,15
359,359,15
358,358,15
366,366,15
135,135,15
100,100,15
355,355,15
118,118,15
111,111,15
116,116,15
113,113,15
362,362,15
365,365,15
112,112,15
379,379,15
377,377,15
372,372,15
105,105,15
103,103,15
431,431,15
313,313,15
240,240,15
235,235,15
335,335,15
327,327,15
308,308,15
213,213,15
329,329,15
310,310,15
331,331,15
345,345,15
324,324,15
185,185,15
172,172,15
201,201,15
354,354,15
316,316,15
260,260,15
257,257,15
253,253,15
270,270,15
248,248,15
246,246,15
312,312,15
250,250,15
244,244,15
267,267,15
266,266,15
389,389,15
39,39,15
432,432,15
255,255,16
242,242,16
258,258,16
207,207,16
202,202,16
221,221,16
307,307,16
233,233,16
186,186,16
99,99,16
40,40,16
127,127,16
151,151,16
131,131,16
159,159,16
181,181,16
109,109,16
401,401,16
400,400,16
397,397,16
51,51,16
61,61,16
405,405,16
35,35,16
408,408,16
404,404,16
22,22,16
30,30,16
407,407,16
226,226,17
357,357,17
349,349,17
430,430,17
209,209,17
145,145,20
328,328,20
247,247,20
8,8,20
403,403,20
26,26,20
417,417,20
230,230,20
231,231,20
306,306,22
115,115,22
1,1,22
54,54,22
171,171,24
126,126,24
350,350,24
232,232,24
311,311,24
322,322,24
356,356,24
157,157,24
339,339,24
69,69,24
375,375,24
58,58,24
107,107,24
79,79,24
128,128,24
150,150,24
152,152,24
393,393,24
44,44,24
409,409,24
3,3,24
413,413,24
314,314,24
309,309,24
15,15,24
6,6,24
268,268,24
237,237,24
13,13,24
271,271,24
187,187,24
191,191,24
190,190,24
0,0,24
28,28,25
154,154,25
93,93,29
385,385,29
97,97,29
45,45,29
382,382,29
136,136,29
175,175,29
124,124,29
133,133,29
381,381,29
423,423,29
428,428,29
433,433,29
236,236,29
245,245,29
251,251,29
332,332,29
7,7,29
18,18,29
252,252,29
238,238,29
200,200,29
193,193,30
225,225,30
419,419,30
147,147,30
208,208,32
146,146,32
46,46,32
42,42,41
43,43,41
81,81,41
348,348,41
353,353,41
343,343,41
223,223,41
323,323,41
291,291,41
292,292,41
425,425,41
5,5,41
229,229,41
227,227,41
234,234,45
222,222,45
33,33,45
184,184,45
422,422,45
14,14,45
333,333,45
162,162,45
89,89,45
101,101,45
173,173,45
37,37,45
156,156,50
249,249,50
216,216,50
52,52,50
351,351,50
218,218,73
376,376,73
416,416,73
