,node-value,cluster-label
126,126,0
129,129,0
128,128,0
127,127,0
118,118,0
121,121,0
120,120,0
119,119,0
123,123,0
124,124,0
125,125,0
122,122,0
213,213,1
217,217,1
218,218,1
219,219,2
221,221,2
220,220,2
79,79,3
78,78,3
80,80,3
236,236,4
235,235,4
237,237,4
234,234,4
97,97,5
95,95,5
96,96,5
197,197,6
196,196,6
212,212,6
195,195,6
198,198,6
65,65,7
66,66,7
67,67,7
68,68,7
69,69,7
70,70,7
71,71,7
350,350,7
55,55,7
58,58,7
59,59,7
60,60,7
61,61,7
62,62,7
63,63,7
192,192,7
193,193,7
194,194,7
184,184,7
185,185,7
186,186,7
187,187,7
188,188,7
189,189,7
190,190,7
191,191,7
351,351,7
352,352,7
353,353,7
362,362,7
363,363,7
364,364,7
365,365,7
366,366,7
367,367,7
182,182,7
183,183,7
354,354,7
355,355,7
356,356,7
357,357,7
358,358,7
359,359,7
360,360,7
361,361,7
72,72,7
56,56,7
181,181,7
64,64,7
73,73,7
74,74,7
75,75,7
76,76,7
77,77,7
57,57,7
301,301,8
302,302,8
303,303,8
304,304,8
305,305,8
306,306,8
307,307,8
297,297,8
299,299,8
298,298,8
300,300,8
199,199,9
208,208,9
209,209,9
210,210,9
207,207,9
211,211,9
200,200,9
201,201,9
202,202,9
203,203,9
204,204,9
205,205,9
206,206,9
373,373,10
391,391,10
389,389,10
388,388,10
387,387,10
405,405,10
404,404,10
402,402,10
401,401,10
400,400,10
399,399,10
398,398,10
397,397,10
392,392,10
372,372,10
371,371,10
370,370,10
369,369,10
368,368,10
171,171,10
170,170,10
346,346,10
344,344,10
343,343,10
342,342,10
172,172,10
296,296,10
414,414,10
427,427,10
426,426,10
424,424,10
376,376,10
375,375,10
374,374,10
421,421,10
420,420,10
419,419,10
418,418,10
417,417,10
430,430,10
295,295,10
294,294,10
293,293,10
277,277,10
276,276,10
275,275,10
274,274,10
309,309,10
308,308,10
395,395,10
394,394,10
393,393,10
413,413,10
377,377,10
335,335,10
322,322,10
321,321,10
320,320,10
310,310,10
386,386,10
378,378,10
379,379,10
384,384,10
383,383,10
381,381,10
422,422,10
380,380,10
437,437,10
407,407,10
431,431,10
433,433,10
434,434,10
435,435,10
436,436,10
411,411,10
415,415,10
416,416,10
408,408,10
409,409,10
410,410,10
85,85,11
84,84,11
81,81,11
83,83,11
82,82,11
92,92,11
91,91,11
90,90,11
89,89,11
88,88,11
93,93,11
86,86,11
94,94,11
87,87,11
266,266,12
267,267,12
268,268,12
272,272,12
273,273,12
269,269,12
270,270,12
271,271,12
289,289,12
290,290,12
108,108,13
107,107,13
106,106,13
105,105,13
104,104,13
103,103,13
102,102,13
109,109,13
111,111,13
110,110,13
291,291,14
226,226,14
227,227,14
228,228,14
229,229,14
345,345,14
230,230,14
231,231,14
292,292,14
232,232,14
224,224,14
223,223,14
340,340,14
341,341,14
225,225,14
233,233,14
240,240,15
238,238,15
239,239,15
5,5,16
4,4,16
12,12,16
6,6,16
3,3,16
2,2,16
1,1,16
11,11,16
10,10,16
0,0,16
9,9,16
8,8,16
19,19,16
18,18,16
17,17,16
16,16,16
7,7,16
13,13,16
14,14,16
15,15,16
26,26,17
29,29,17
30,30,17
31,31,17
32,32,17
33,33,17
34,34,17
35,35,17
22,22,17
23,23,17
24,24,17
25,25,17
49,49,17
27,27,17
20,20,17
21,21,17
39,39,17
40,40,17
41,41,17
42,42,17
43,43,17
47,47,17
46,46,17
48,48,17
50,50,17
28,28,17
53,53,17
45,45,17
52,52,17
44,44,17
38,38,17
37,37,17
36,36,17
51,51,17
244,244,18
253,253,18
254,254,18
248,248,18
255,255,18
251,251,18
250,250,18
249,249,18
245,245,18
246,246,18
247,247,18
256,256,18
257,257,18
258,258,18
259,259,18
260,260,18
261,261,18
262,262,18
252,252,18
214,214,19
216,216,19
215,215,19
99,99,20
101,101,20
100,100,20
98,98,20
241,241,22
242,242,22
243,243,22
264,264,22
265,265,22
263,263,22
432,432,24
423,423,24
425,425,24
339,339,24
178,178,24
179,179,24
180,180,24
173,173,24
222,222,24
347,347,24
348,348,24
349,349,24
174,174,24
175,175,24
176,176,24
177,177,24
318,318,24
319,319,24
311,311,24
312,312,24
313,313,24
314,314,24
315,315,24
316,316,24
317,317,24
286,286,24
287,287,24
288,288,24
278,278,24
279,279,24
280,280,24
281,281,24
282,282,24
283,283,24
284,284,24
285,285,24
428,428,24
429,429,24
406,406,24
412,412,24
336,336,24
337,337,24
338,338,24
390,390,24
396,396,24
382,382,24
385,385,24
54,54,27
403,403,27
333,333,27
334,334,27
323,323,27
324,324,27
325,325,27
329,329,27
332,332,27
327,327,27
326,326,27
328,328,27
330,330,27
331,331,27
117,117,30
116,116,30
112,112,30
114,114,30
113,113,30
115,115,30
165,165,32
162,162,32
163,163,32
164,164,32
161,161,32
166,166,32
167,167,32
168,168,32
169,169,32
158,158,32
159,159,32
160,160,32
144,144,32
143,143,32
142,142,32
157,157,32
156,156,32
155,155,32
154,154,32
153,153,32
152,152,32
151,151,32
150,150,32
145,145,32
149,149,32
146,146,32
147,147,32
148,148,32
132,132,32
131,131,32
130,130,32
141,141,32
140,140,32
139,139,32
138,138,32
137,137,32
136,136,32
135,135,32
134,134,32
133,133,32
