,node-value,cluster-label
437,437,0
19,19,0
27,27,0
30,30,0
404,404,0
405,405,0
407,407,0
414,414,0
416,416,0
400,400,0
369,369,0
370,370,0
376,376,0
363,363,0
368,368,0
332,332,0
333,333,0
33,33,0
35,35,0
37,37,0
40,40,0
307,307,0
258,258,0
245,245,0
255,255,0
256,256,0
228,228,0
233,233,0
234,234,0
210,210,0
211,211,0
218,218,0
219,219,0
221,221,0
222,222,0
51,51,0
198,198,0
202,202,0
205,205,0
207,207,0
178,178,0
179,179,0
181,181,0
182,182,0
184,184,0
186,186,0
189,189,0
162,162,0
168,168,0
173,173,0
80,80,0
132,132,0
134,134,0
123,123,0
124,124,0
125,125,0
99,99,0
101,101,0
109,109,0
84,84,0
89,89,0
94,94,0
95,95,0
2,2,0
4,4,0
14,14,0
422,422,0
427,427,0
260,260,1
280,280,1
283,283,1
284,284,1
285,285,1
286,286,1
287,287,1
288,288,1
257,257,1
259,259,1
279,279,1
261,261,1
262,262,1
263,263,1
264,264,1
265,265,1
266,266,1
267,267,1
269,269,1
342,342,1
364,364,1
365,365,1
366,366,1
367,367,1
337,337,1
338,338,1
340,340,1
341,341,1
270,270,1
344,344,1
345,345,1
273,273,1
274,274,1
275,275,1
276,276,1
277,277,1
278,278,1
235,235,1
382,382,1
383,383,1
384,384,1
354,354,1
355,355,1
358,358,1
359,359,1
230,230,1
381,381,1
236,236,1
238,238,1
239,239,1
240,240,1
212,212,1
213,213,1
24,24,1
217,217,1
251,251,1
272,272,1
241,241,1
243,243,1
244,244,1
246,246,1
247,247,1
248,248,1
250,250,1
362,362,1
252,252,1
253,253,1
254,254,1
375,375,1
377,377,1
378,378,1
379,379,1
380,380,1
324,324,1
10,10,1
11,11,1
431,431,1
83,83,1
346,346,1
347,347,1
352,352,1
321,321,1
322,322,1
9,9,1
325,325,1
326,326,1
327,327,1
328,328,1
329,329,1
330,330,1
331,331,1
335,335,1
87,87,1
432,432,1
436,436,1
17,17,1
18,18,1
20,20,1
21,21,1
22,22,1
385,385,1
336,336,1
88,88,1
90,90,1
92,92,1
93,93,1
96,96,1
433,433,1
7,7,1
8,8,1
298,298,1
320,320,1
289,289,1
290,290,1
293,293,1
294,294,1
295,295,1
296,296,1
297,297,1
317,317,1
299,299,1
300,300,1
301,301,1
302,302,1
303,303,1
304,304,1
360,360,1
361,361,1
47,47,1
34,34,1
36,36,1
38,38,1
39,39,1
41,41,1
42,42,1
45,45,1
46,46,1
215,215,1
48,48,1
305,305,1
308,308,1
310,310,1
312,312,1
313,313,1
315,315,1
316,316,1
119,119,1
141,141,1
142,142,1
143,143,1
144,144,1
113,113,1
116,116,1
117,117,1
118,118,1
140,140,1
120,120,1
127,127,1
97,97,1
98,98,1
100,100,1
103,103,1
104,104,1
158,158,1
374,374,1
77,77,1
78,78,1
145,145,1
146,146,1
148,148,1
220,220,1
155,155,1
105,105,1
160,160,1
131,131,1
133,133,1
135,135,1
136,136,1
137,137,1
138,138,1
403,403,1
387,387,1
429,429,1
85,85,1
86,86,1
31,31,1
32,32,1
401,401,1
402,402,1
428,428,1
406,406,1
408,408,1
410,410,1
411,411,1
412,412,1
413,413,1
415,415,1
29,29,1
106,106,1
108,108,1
110,110,1
111,111,1
112,112,1
82,82,1
23,23,1
25,25,1
149,149,1
12,12,1
16,16,1
418,418,1
420,420,1
423,423,1
424,424,1
426,426,1
192,192,1
206,206,1
208,208,1
177,177,1
180,180,1
183,183,1
185,185,1
188,188,1
190,190,1
203,203,1
161,161,1
163,163,1
164,164,1
165,165,1
373,373,1
167,167,1
169,169,1
170,170,1
62,62,1
49,49,1
50,50,1
53,53,1
55,55,1
56,56,1
59,59,1
60,60,1
61,61,1
166,166,1
63,63,1
64,64,1
194,194,1
195,195,1
196,196,1
200,200,1
201,201,1
393,393,1
74,74,1
75,75,1
76,76,1
172,172,1
389,389,1
390,390,1
391,391,1
392,392,1
388,388,1
394,394,1
395,395,1
396,396,1
398,398,1
399,399,1
371,371,1
372,372,1
174,174,1
67,67,1
68,68,1
70,70,1
175,175,1
71,71,1
72,72,1
73,73,1
102,102,2
397,397,2
122,122,2
176,176,2
151,151,2
154,154,2
231,231,2
130,130,2
242,242,2
65,65,2
91,91,2
159,159,2
28,28,2
334,334,2
199,199,2
114,114,2
204,204,2
421,421,2
417,417,2
139,139,2
26,26,2
1,1,3
281,281,3
282,282,3
306,306,3
153,153,3
54,54,3
115,115,3
419,419,4
43,43,4
323,323,4
351,351,4
292,292,4
291,291,4
349,349,4
434,434,4
435,435,4
249,249,4
225,225,4
319,319,4
318,318,4
343,343,4
216,216,4
52,52,4
57,57,4
227,227,4
209,209,4
223,223,4
357,357,4
226,226,4
229,229,4
348,348,4
425,425,4
187,187,4
147,147,4
193,193,4
156,156,4
353,353,4
5,5,4
81,81,4
430,430,4
386,386,5
15,15,6
0,0,6
311,311,6
13,13,6
268,268,6
339,339,6
271,271,6
152,152,6
224,224,6
232,232,6
237,237,6
356,356,6
191,191,6
58,58,6
197,197,6
157,157,6
69,69,6
171,171,6
79,79,6
309,309,6
314,314,6
350,350,6
44,44,6
409,409,6
3,3,6
6,6,6
150,150,6
128,128,6
126,126,6
107,107,6
121,121,6
66,66,7
214,214,8
129,129,9
