,node-value,cluster-label
419,419,0
420,420,0
421,421,0
422,422,0
423,423,0
424,424,0
425,425,0
426,426,0
437,437,0
436,436,0
435,435,0
434,434,0
433,433,0
432,432,0
431,431,0
430,430,0
373,373,0
374,374,0
375,375,0
376,376,0
377,377,0
378,378,0
379,379,0
380,380,0
381,381,0
382,382,0
383,383,0
384,384,0
385,385,0
386,386,0
387,387,0
388,388,0
389,389,0
390,390,0
391,391,0
392,392,0
393,393,0
394,394,0
331,331,0
332,332,0
333,333,0
334,334,0
335,335,0
336,336,0
337,337,0
338,338,0
339,339,0
340,340,0
341,341,0
342,342,0
343,343,0
344,344,0
345,345,0
346,346,0
347,347,0
348,348,0
349,349,0
81,81,0
82,82,0
83,83,0
84,84,0
85,85,0
86,86,0
87,87,0
88,88,0
89,89,0
90,90,0
91,91,0
92,92,0
93,93,0
94,94,0
299,299,0
300,300,0
301,301,0
302,302,0
303,303,0
304,304,0
305,305,0
306,306,0
307,307,0
308,308,0
309,309,0
310,310,0
311,311,0
312,312,0
313,313,0
314,314,0
315,315,0
316,316,0
317,317,0
318,318,0
319,319,0
320,320,0
321,321,0
322,322,0
323,323,0
324,324,0
325,325,0
326,326,0
327,327,0
328,328,0
329,329,0
330,330,0
267,267,0
268,268,0
269,269,0
270,270,0
271,271,0
272,272,0
273,273,0
274,274,0
275,275,0
276,276,0
277,277,0
278,278,0
279,279,0
280,280,0
281,281,0
282,282,0
283,283,0
284,284,0
285,285,0
286,286,0
287,287,0
288,288,0
289,289,0
290,290,0
291,291,0
292,292,0
293,293,0
294,294,0
295,295,0
296,296,0
297,297,0
298,298,0
170,170,0
235,235,0
236,236,0
237,237,0
266,266,0
171,171,0
172,172,0
173,173,0
174,174,0
175,175,0
176,176,0
177,177,0
178,178,0
179,179,0
180,180,0
195,195,0
196,196,0
197,197,0
198,198,0
199,199,0
200,200,0
201,201,0
202,202,0
203,203,0
204,204,0
205,205,0
206,206,0
207,207,0
208,208,0
209,209,0
210,210,0
211,211,0
212,212,0
219,219,0
220,220,0
221,221,0
222,222,0
223,223,0
224,224,0
225,225,0
226,226,0
227,227,0
228,228,0
229,229,0
230,230,0
231,231,0
232,232,0
233,233,0
234,234,0
395,395,0
396,396,0
397,397,0
398,398,0
399,399,0
400,400,0
401,401,0
402,402,0
403,403,0
404,404,0
405,405,0
406,406,0
407,407,0
408,408,0
409,409,0
410,410,0
411,411,0
412,412,0
413,413,0
414,414,0
415,415,0
416,416,0
417,417,0
418,418,0
429,429,0
428,428,0
427,427,0
368,368,0
369,369,0
370,370,0
371,371,0
372,372,0
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
33,33,1
48,48,1
49,49,1
50,50,1
25,25,1
26,26,1
54,54,1
45,45,1
44,44,1
43,43,1
53,53,1
23,23,1
24,24,1
46,46,1
47,47,1
41,41,1
42,42,1
27,27,1
28,28,1
29,29,1
30,30,1
51,51,1
21,21,1
20,20,1
34,34,1
52,52,1
32,32,1
31,31,1
22,22,1
67,67,2
80,80,2
69,69,2
79,79,2
61,61,2
58,58,2
77,77,2
76,76,2
75,75,2
56,56,2
55,55,2
57,57,2
78,78,2
70,70,2
68,68,2
66,66,2
64,64,2
65,65,2
60,60,2
62,62,2
63,63,2
72,72,2
73,73,2
71,71,2
74,74,2
59,59,2
163,163,3
164,164,3
122,122,3
121,121,3
126,126,3
127,127,3
128,128,3
129,129,3
130,130,3
118,118,3
119,119,3
120,120,3
165,165,3
166,166,3
167,167,3
168,168,3
169,169,3
155,155,3
156,156,3
157,157,3
158,158,3
159,159,3
160,160,3
161,161,3
162,162,3
147,147,3
148,148,3
149,149,3
150,150,3
151,151,3
152,152,3
153,153,3
154,154,3
139,139,3
140,140,3
141,141,3
142,142,3
143,143,3
144,144,3
145,145,3
146,146,3
131,131,3
132,132,3
133,133,3
134,134,3
135,135,3
136,136,3
137,137,3
138,138,3
123,123,3
124,124,3
125,125,3
213,213,4
214,214,4
218,218,4
217,217,4
216,216,4
215,215,4
357,357,5
358,358,5
350,350,5
362,362,5
361,361,5
351,351,5
360,360,5
359,359,5
355,355,5
356,356,5
352,352,5
353,353,5
363,363,5
367,367,5
365,365,5
366,366,5
364,364,5
354,354,5
190,190,6
183,183,6
182,182,6
184,184,6
194,194,6
193,193,6
192,192,6
191,191,6
185,185,6
189,189,6
188,188,6
187,187,6
181,181,6
186,186,6
106,106,7
95,95,7
96,96,7
97,97,7
98,98,7
114,114,7
99,99,7
100,100,7
101,101,7
102,102,7
103,103,7
104,104,7
105,105,7
107,107,7
108,108,7
109,109,7
110,110,7
111,111,7
112,112,7
113,113,7
115,115,7
116,116,7
117,117,7
253,253,8
259,259,8
260,260,8
257,257,8
256,256,8
255,255,8
254,254,8
240,240,8
239,239,8
238,238,8
250,250,8
249,249,8
248,248,8
247,247,8
246,246,8
242,242,8
243,243,8
258,258,8
244,244,8
264,264,8
263,263,8
262,262,8
261,261,8
241,241,8
252,252,8
251,251,8
265,265,8
245,245,8
4,4,9
1,1,9
2,2,9
0,0,9
14,14,9
6,6,9
5,5,9
17,17,9
18,18,9
11,11,9
12,12,9
13,13,9
3,3,9
15,15,9
16,16,9
10,10,9
9,9,9
8,8,9
19,19,9
7,7,9
