,cluster-label,drug
0,0.0,fluticasone (propionate)
1,0.0,beclometasone dipropionate
2,0.0,zafirlukast
3,1.0,phenylephrine hydrochloride
4,1.0,phenylephrine (hydrochloride)
5,2.0,atenolol
6,2.0,propranolol hydrochloride (+/-)
7,2.0,pindolol
8,3.0,amlodipine besylate
9,3.0,nisoldipine
10,3.0,nifedipine
11,3.0,nicardipine hydrochloride
12,3.0,nicardipine (hydrochloride)
13,3.0,felodipine
14,4.0,minoxidil 
15,4.0,minoxidil hydrochloride
16,5.0,tetrahydrozoline hydrochloride
17,5.0,oxymetazoline hydrochloride
18,5.0,xylometazoline hydrochloride
19,6.0,azelastine hydrochloride
20,6.0,montelukast (sodium)
21,6.0,ketotifen (fumarate)
22,7.0,chlorpropamide
23,7.0,tolbutamide
24,8.0,clopidogrel sulfate
25,8.0,eicosapentaenoic acid
26,8.0,clopidogrel
27,9.0,dexamethasone
28,9.0,betamethasone dipropionate
29,10.0,cyproheptadine hydrochloride
30,10.0,cyproheptadine (hydrochloride)
31,11.0,nelfinavir
32,11.0,lopinavir
33,11.0,tenofovir disoproxil
34,11.0,emtricitabine
35,11.0,raltegravir
36,11.0,cobicistat
37,11.0,darunavir
38,11.0,dolutegravir
39,11.0,tenofovir
40,11.0,etravirine
41,11.0,ritonavir
42,11.0,atazanavir (sulfate)
43,12.0,dasabuvir
44,12.0,famciclovir
45,12.0,acyclovir
46,12.0,sofosbuvir
47,12.0,rimantadine hydrochloride
48,12.0,tenofovir alafenamide
49,12.0,paritaprevir
50,12.0,valacyclovir hydrochloride
51,12.0,valacyclovir (hydrochloride)
52,12.0,ledipasvir
53,12.0,oseltamivir (phosphate)
54,13.0,cefditoren (pivoxil)
55,13.0,ciprofloxacin
56,13.0,cefepime (dihydrochloride monohydrate)
57,13.0,cefuroxime (sodium)
58,13.0,sulfacetamide
59,13.0,sulfadiazine
60,13.0,clindamycin hydrochloride
61,13.0,sulfamethoxazole
62,13.0,nitrofurantoin
63,13.0,levofloxacin
64,13.0,cefaclor
65,13.0,trimethoprim
66,13.0,enoxacin
67,13.0,sulfamethizole
68,13.0,cefuroxime axetil
69,13.0,amoxicillin (sodium)
70,13.0,fusidic acid
71,13.0,gramicidin 
72,13.0,piperacillin (sodium)
73,13.0,azithromycin
74,13.0,aztreonam
75,13.0,moxifloxacin hydrochloride
76,13.0,clindamycin (hydrochloride)
77,13.0,amoxicillin
78,13.0,clarithromycin
79,13.0,tedizolid
80,13.0,tazobactam
81,13.0,nalidixic acid
82,14.0,bifonazole
83,14.0,terbinafine hydrochloride
84,14.0,voriconazole
85,14.0,sertaconazole (nitrate)
86,14.0,miconazole nitrate
87,14.0,butenafine (hydrochloride)
88,14.0,itraconazole hydrochloride
89,15.0,loratadine
90,15.0,doxylamine succinate
91,15.0,acrivastine
92,15.0,epinastine
93,15.0,clemastine (fumarate)
94,15.0,fexofenadine hydrochloride
95,15.0,antazoline
96,16.0,decitabine
97,16.0,genistein
98,16.0,gefitinib (zd1839)
99,16.0,tepotinib (emd 1214063)
100,16.0,bosutinib
