,cluster-label,drug
0,0.0,lubiprostone
1,1.0,doxylamine succinate
2,1.0,fexofenadine hydrochloride
3,1.0,loratadine
4,1.0,epinastine
5,2.0,tenofovir alafenamide
6,2.0,paritaprevir
7,2.0,sofosbuvir
8,2.0,valacyclovir hydrochloride
9,2.0,oseltamivir (phosphate)
10,2.0,valacyclovir (hydrochloride)
11,2.0,rimantadine hydrochloride
12,3.0,sulfacetamide
13,3.0,moxifloxacin hydrochloride
14,3.0,nalidixic acid
15,3.0,sulfadiazine
16,3.0,sulfamethizole
17,3.0,nitrofurantoin
18,3.0,trimethoprim
19,3.0,sulfamethoxazole
20,3.0,tedizolid
21,3.0,tazobactam
22,3.0,levofloxacin
23,3.0,piperacillin (sodium)
24,4.0,bendroflumethiazide
25,4.0,enalaprilat (dihydrate)
26,4.0,clonidine hydrochloride
27,4.0,azilsartan medoxomil
28,4.0,doxazosin mesylate
29,4.0,azilsartan
30,4.0,carvedilol
31,4.0,clonidine (hydrochloride)
32,5.0,metolazone
33,5.0,chlorthalidone
34,5.0,chlorothiazide
35,5.0,furosemide
36,5.0,eplerenone
37,5.0,ethacrynic acid
38,5.0,bumetanide
39,5.0,hydrochlorothiazide
40,5.0,amiloride hydrochloride
41,5.0,indapamide
42,6.0,tenofovir
43,6.0,raltegravir
44,6.0,ritonavir
45,6.0,lopinavir
46,6.0,tenofovir disoproxil
47,6.0,nelfinavir
48,7.0,lansoprazole
49,7.0,famotidine
50,7.0,rabeprazole (sodium)
51,7.0,ranitidine (hydrochloride)
52,7.0,pantoprazole (sodium)
53,7.0,omeprazole
54,7.0,clidinium bromide
55,8.0,aspirin
56,8.0,(r)-(-)-ibuprofen
57,8.0,(s)-(+)-ibuprofen
58,8.0,celecoxib
59,8.0,diclofenac
60,9.0,mometasone furoate
61,9.0,deflazacort
62,9.0,palmidrol [5mm]
63,9.0,dexamethasone acetate
64,9.0,hydrocortisone hemisuccinate
65,9.0,hydrocortisone 17-butyrate
66,9.0,methylprednisolone
67,9.0,apremilast
68,9.0,prednisolone
69,9.0,hydrocortisone acetate
70,9.0,hydrocortisone
71,9.0,mesalamine
72,10.0,repaglinide
73,10.0,pioglitazone hydrochloride
74,10.0,sitagliptin
75,10.0,tolazamide
76,10.0,saxagliptin
77,11.0,propranolol hydrochloride (+/-)
78,11.0,pindolol
79,11.0,atenolol
80,12.0,duvelisib (ipi-145_ ink1197)
81,12.0,erlotinib (hydrochloride)
82,12.0,decitabine
83,12.0,bosutinib
84,12.0,acalabrutinib
85,12.0,gefitinib (zd1839)
86,12.0,genistein
87,12.0,capmatinib
88,13.0,phenelzine sulfate
89,13.0,sertraline (hydrochloride)
90,13.0,moclobemide
91,13.0,mianserin hydrochloride
92,14.0,dicyclomine hydrochloride
93,14.0,propantheline bromide
94,15.0,probucol
95,16.0,naphazoline hydrochloride
96,17.0,stiripentol
97,17.0,pregabalin hydrochloride
98,17.0,rufinamide
99,17.0,levetiracetam
100,18.0,(s)-rasagiline
101,18.0,ropinirole (hydrochloride)
102,18.0,pergolide (mesylate)
103,18.0,bromocriptine (mesylate)
104,18.0,istradefylline
105,18.0,safinamide
106,19.0,fluticasone (propionate)
107,19.0,zafirlukast
108,19.0,beclometasone dipropionate
109,20.0,umeclidinium (bromide)
110,20.0,metaproterenol
111,20.0,theophylline
112,20.0,albuterol
113,20.0,salmeterol
114,21.0,dydrogesterone
115,21.0,estradiol benzoate
116,21.0,progesterone
117,21.0,estradiol
118,21.0,estradiol (cypionate)
119,21.0,estradiol cypionate
120,21.0,estradiol valerianate
121,22.0,mefloquine
122,22.0,tafenoquine (succinate)
123,22.0,pyrimethamine
124,23.0,ranolazine
125,23.0,pentoxifylline
126,23.0,phentolamine hydrochloride
127,24.0,eicosapentaenoic acid
128,24.0,clopidogrel
129,24.0,clopidogrel sulfate
130,25.0,cefepime (dihydrochloride monohydrate)
131,25.0,cefuroxime (sodium)
132,25.0,fusidic acid
133,25.0,aztreonam
134,25.0,azithromycin
135,25.0,cefaclor
136,25.0,amoxicillin
137,25.0,ciprofloxacin
138,25.0,clarithromycin
139,25.0,gramicidin 
140,25.0,clindamycin (hydrochloride)
141,25.0,clindamycin hydrochloride
142,25.0,cefditoren (pivoxil)
143,25.0,cefuroxime axetil
144,25.0,amoxicillin (sodium)
145,25.0,enoxacin
146,26.0,tramadol hydrochloride
147,26.0,nefopam
148,27.0,levamisole (hydrochloride)
149,27.0,pyrantel (tartrate)
150,27.0,triclabendazole
151,27.0,mebendazole
152,28.0,isosorbide dinitrate
153,28.0,nicorandil
154,28.0,regadenoson
155,28.0,isosorbide mononitrate
156,29.0,itraconazole hydrochloride
157,29.0,butenafine (hydrochloride)
158,29.0,bifonazole
159,30.0,ondansetron
160,30.0,trimethobenzamide hydrochloride
161,30.0,palonosetron (hydrochloride)
162,30.0,meclizine hydrochloride
163,31.0,pretomanid
164,31.0,pyrazinamide
165,32.0,cyclosporin a
166,32.0,cyclosporine
167,33.0,cetylpyridinium chloride
