,cluster-label,drug
0,0.0,moxidectin
1,0.0,gramicidin (gramicidin a shown)
2,0.0,guanethidine
3,0.0,natamycin
4,0.0,nitazoxanide
5,0.0,moxonidine
6,0.0,gemfibrozil
7,0.0,nitisinone
8,0.0,hesperidin
9,0.0,lubiprostone
10,0.0,meclizine hydrochloride
11,0.0,glucosamine hydrochloride
12,0.0,mebendazole
13,0.0,levocarnitine propionate (hydrochloride)
14,0.0,fostamatinib (r788)
15,0.0,naloxegol (oxalate)
16,0.0,indapamide
17,0.0,lemborexant
18,0.0,inosine
19,0.0,methocarbamol
20,1.0,bumetanide
21,1.0,benzonatate
22,1.0,benzoic acid
23,1.0,cyproheptadine (hydrochloride)
24,1.0,belumosudil
25,1.0,biotin
26,1.0,eugenol
27,1.0,bendroflumethiazide
28,1.0,carglumic acid
29,1.0,chlorhexidine dihydrochloride
30,1.0,chloroquine phosphate
31,1.0,enoxacin
32,1.0,enalaprilat (dihydrate)
33,1.0,cinacalcet
34,1.0,duvelisib (ipi-145_ ink1197)
35,1.0,clofazimine
36,1.0,diazoxide
37,1.0,decitabine
38,1.0,dapsone
39,1.0,zileuton
40,1.0,ethionamide
41,1.0,capsaicin
42,1.0,cysteamine hydrochloride
43,1.0,venetoclax
44,1.0,urea
45,1.0,aminocaproic acid hydrochloride
46,1.0,acetylcysteine
47,1.0,triclabendazole
48,1.0,acalabrutinib
49,1.0,aprepitant
50,1.0,alendronate sodium
51,1.0,artesunate
52,1.0,atovaquone
53,1.0,voxelotor
54,1.0,folic acid
55,2.0,iloprost
56,2.0,selexipag
57,2.0,tirofiban (hydrochloride monohydrate)
58,3.0,rucaparib (ag-014699 or pf-01367338) phosphate
59,3.0,tazemetostat
60,3.0,rufinamide
61,3.0,treprostinil
62,3.0,rimegepant
63,3.0,rimantadine hydrochloride
64,3.0,riluzole
65,3.0,spironolactone
66,3.0,tazobactam
67,3.0,sulfacetamide
68,4.0,pyrazinamide
69,4.0,pirfenidone
70,4.0,probenecid
71,4.0,oseltamivir (phosphate)
72,4.0,relugolix
73,4.0,revefenacin
74,4.0,reserpine
75,4.0,orlistat
76,4.0,probucol
77,4.0,retinol
78,5.0,albuterol
79,5.0,methyldopa
80,5.0,xylometazoline hydrochloride
81,5.0,metaproterenol
82,5.0,salmeterol
83,5.0,clonidine hydrochloride
84,5.0,clonidine (hydrochloride)
85,5.0,naphazoline hydrochloride
86,5.0,phenylephrine hydrochloride
87,5.0,phenylephrine (hydrochloride)
88,5.0,dobutamine (hydrochloride)
89,5.0,guanfacine (hydrochloride)
90,5.0,guanfacine hydrochloride
91,5.0,oxymetazoline hydrochloride
92,5.0,lofexidine  hydrochloride
