,cluster-label,drug
0,0.0,mebendazole
1,1.0,lofexidine  hydrochloride
2,1.0,xylometazoline hydrochloride
3,1.0,methyldopa
4,1.0,salmeterol
5,1.0,oxymetazoline hydrochloride
6,1.0,naphazoline hydrochloride
7,1.0,phenylephrine (hydrochloride)
8,1.0,phenylephrine hydrochloride
9,1.0,metaproterenol
10,1.0,tetrahydrozoline hydrochloride
11,2.0,miconazole nitrate
12,2.0,cefaclor
13,2.0,cefditoren (pivoxil)
14,2.0,cycloserine (d)
15,2.0,piperacillin (sodium)
16,2.0,cefuroxime (sodium)
17,2.0,cefuroxime axetil
18,2.0,aztreonam
19,2.0,ethambutol hydrochloride
20,2.0,ethambutol (dihydrochloride)
21,2.0,cefepime (dihydrochloride monohydrate)
22,3.0,promethazine hydrochloride
23,3.0,pitolisant (hydrochloride)
24,3.0,nizatidine
25,3.0,loratadine
26,3.0,trimethobenzamide hydrochloride
27,3.0,ranitidine (hydrochloride)
28,4.0,tolazamide
29,4.0,tolbutamide
30,4.0,chlorpropamide
31,5.0,indomethacin
32,5.0,diclofenac
33,5.0,ibuprofen
34,5.0,celecoxib
35,5.0,flurbiprofen
36,5.0,naproxen
37,5.0,nefopam
38,5.0,etoricoxib
39,5.0,ibuprofen piconol
40,5.0,(r)-(-)-ibuprofen
41,5.0,parecoxib
42,5.0,(s)-(+)-ibuprofen
43,5.0,acetaminophen
44,5.0,aspirin
45,6.0,vecuronium (bromide)
46,6.0,orphenadrine citrate
47,6.0,umeclidinium (bromide)
48,6.0,pancuronium (dibromide)
49,6.0,procyclidine hydrochloride
50,6.0,solifenacin (succinate)
51,6.0,tolterodine (tartrate)
52,6.0,propantheline bromide
53,7.0,ranolazine
54,7.0,ropivacaine
55,7.0,amiloride hydrochloride
56,7.0,triamterene
57,7.0,bupivacaine hydrochloride
58,8.0,nitrofurantoin
59,8.0,nifurtimox
60,8.0,metronidazole
61,9.0,doxazosin mesylate
62,9.0,atenolol
63,9.0,esmolol (hydrochloride)
64,9.0,carteolol hydrochloride
65,9.0,carvedilol
66,9.0,alfuzosin hydrochloride
67,9.0,(s)-timolol (maleate)
68,10.0,isradipine
69,10.0,nifedipine
70,10.0,felodipine
71,10.0,nicardipine (hydrochloride)
72,10.0,levetiracetam
73,10.0,amlodipine besylate
74,10.0,verapamil (hydrochloride)
75,10.0,nisoldipine
76,11.0,naratriptan (hydrochloride)
77,11.0,vortioxetine
78,11.0,sumatriptan
79,11.0,prucalopride (succinate)
80,11.0,eletriptan (hydrobromide)
81,11.0,rizatriptan benzoate
82,11.0,zolmitriptan
83,11.0,buspirone hydrochloride
84,11.0,almotriptan
85,12.0,pantoprazole (sodium)
86,12.0,omeprazole
87,12.0,lansoprazole
88,12.0,rabeprazole (sodium)
89,13.0,apremilast
90,13.0,anagrelide (hydrochloride)
91,13.0,dipyridamole
92,14.0,hydrocortisone acetate
93,14.0,methylprednisolone
94,14.0,dexamethasone acetate
95,14.0,dexamethasone
96,14.0,deflazacort
97,14.0,fluticasone (propionate)
98,14.0,prednisolone
99,14.0,mometasone furoate
100,14.0,hydrocortisone
101,14.0,hydrocortisone 17-butyrate
102,15.0,moclobemide
103,15.0,phenelzine sulfate
104,15.0,(s)-rasagiline
105,16.0,cabergoline
106,16.0,bromocriptine (mesylate)
107,16.0,uridine
108,16.0,pergolide (mesylate)
109,16.0,ropinirole (hydrochloride)
110,17.0,silibinin
111,17.0,itraconazole hydrochloride
112,17.0,eplerenone
113,17.0,fenofibric acid
114,17.0,osilodrostat
115,17.0,cobicistat
116,17.0,voriconazole
117,17.0,flunisolide
118,18.0,ritonavir
119,18.0,indinavir (sulfate)
120,18.0,darunavir
121,18.0,nelfinavir
122,18.0,lopinavir
123,18.0,atazanavir (sulfate)
124,19.0,disulfiram
125,20.0,minoxidil hydrochloride
126,20.0,minoxidil 
127,21.0,tenofovir alafenamide
128,21.0,tenofovir disoproxil
129,21.0,emtricitabine
130,22.0,nalidixic acid
131,22.0,moxifloxacin hydrochloride
132,22.0,ciprofloxacin
133,22.0,levofloxacin
134,23.0,dapoxetine (hydrochloride)
135,23.0,sertraline (hydrochloride)
