,cluster-label,drug
0,0.0,rimantadine hydrochloride
1,1.0,umeclidinium (bromide)
2,2.0,dexamethasone acetate
3,2.0,hydrocortisone acetate
4,2.0,hydrocortisone 17-butyrate
5,2.0,minoxidil hydrochloride
6,2.0,minoxidil 
7,2.0,dexamethasone
8,3.0,sildenafil citrate
9,3.0,pentoxifylline
10,3.0,dipyridamole
11,3.0,apremilast
12,3.0,papaverine hydrochloride
13,3.0,anagrelide (hydrochloride)
14,3.0,tadalafil
15,4.0,tirofiban (hydrochloride monohydrate)
16,5.0,mecamylamine hydrochloride
17,6.0,meclizine hydrochloride
18,7.0,glycopyrrolate
19,8.0,vecuronium (bromide)
20,9.0,eugenol
21,10.0,atracurium besylate
22,11.0,tenofovir
23,12.0,rabeprazole (sodium)
24,13.0,mebeverine hydrochloride
25,14.0,olanzapine
26,15.0,moxonidine
27,16.0,propantheline bromide
28,17.0,pancuronium (dibromide)
29,18.0,cinacalcet
30,19.0,tolterodine (tartrate)
31,20.0,rucaparib (ag-014699 or pf-01367338) phosphate
32,21.0,darifenacin (hydrobromide)
33,22.0,cimetidine
34,23.0,dapsone
35,24.0,procyclidine hydrochloride
36,25.0,clidinium bromide
37,26.0,revefenacin
38,27.0,clonidine hydrochloride
39,28.0,metformin hydrochloride
40,29.0,phenylephrine hydrochloride
41,30.0,chlorhexidine dihydrochloride
42,31.0,orphenadrine citrate
43,32.0,solifenacin (succinate)
44,33.0,decitabine
45,34.0,albuterol
46,35.0,rimegepant
47,36.0,mepenzolate bromide
48,37.0,nizatidine
49,38.0,enoxacin
50,39.0,dobutamine (hydrochloride)
51,40.0,mefloquine
52,41.0,salmeterol
53,42.0,pyrantel (tartrate)
54,43.0,xylometazoline hydrochloride
55,44.0,natamycin
56,45.0,guanfacine hydrochloride
57,46.0,atovaquone
58,47.0,phenylephrine (hydrochloride)
59,48.0,methyldopa
60,49.0,nitazoxanide
61,50.0,guanfacine (hydrochloride)
62,51.0,clemastine (fumarate)
63,52.0,levocarnitine propionate (hydrochloride)
64,53.0,clonidine (hydrochloride)
65,54.0,selexipag
66,55.0,metaproterenol
67,56.0,oseltamivir (phosphate)
68,57.0,lofexidine  hydrochloride
69,58.0,lubiprostone
70,59.0,naphazoline hydrochloride
71,60.0,oxymetazoline hydrochloride
72,61.0,reserpine
73,62.0,tetrahydrozoline hydrochloride
74,63.0,azelastine hydrochloride
75,64.0,methocarbamol
76,65.0,belumosudil
77,66.0,ibuprofen piconol
78,67.0,diclofenac
79,68.0,nelfinavir
80,68.0,indinavir (sulfate)
81,68.0,lopinavir
82,68.0,atazanavir (sulfate)
83,68.0,darunavir
84,68.0,ritonavir
85,69.0,gramicidin (gramicidin a shown)
86,70.0,parecoxib
87,71.0,tamsulosin
88,72.0,relugolix
89,73.0,trimethobenzamide hydrochloride
90,74.0,naproxen
91,75.0,capsaicin
92,76.0,indomethacin
93,77.0,biotin
94,78.0,iloprost
95,79.0,propranolol hydrochloride (+/-)
96,80.0,silodosin
97,81.0,voxelotor
98,82.0,carteolol hydrochloride
99,83.0,rufinamide
100,84.0,carvedilol
101,85.0,pitolisant (hydrochloride)
102,86.0,probucol
103,87.0,agomelatine
104,88.0,terazosin (hydrochloride dihydrate)
105,89.0,indapamide
106,90.0,alfuzosin hydrochloride
107,91.0,nefopam
108,92.0,glucosamine hydrochloride
109,93.0,pindolol
110,94.0,amantadine hydrochloride
111,95.0,aminocaproic acid hydrochloride
112,96.0,aspirin
113,97.0,(s)-timolol (maleate)
114,98.0,sulfacetamide
115,99.0,ranitidine (hydrochloride)
116,100.0,esmolol (hydrochloride)
117,101.0,pyrazinamide
118,102.0,(r)-(-)-ibuprofen
119,103.0,retinol
120,104.0,doxazosin mesylate
121,105.0,phentolamine hydrochloride
122,106.0,nitisinone
123,107.0,(s)-(+)-ibuprofen
124,108.0,hesperidin
125,109.0,diphenhydramine hydrochloride
126,110.0,etoricoxib
127,111.0,lemborexant
128,112.0,acetaminophen
129,113.0,cysteamine hydrochloride
130,114.0,atenolol
131,115.0,ibuprofen
132,116.0,orlistat
133,117.0,prazosin hydrochloride
134,118.0,benzoic acid
