,cluster-label,drug
0,0.0,mebeverine hydrochloride
1,0.0,dicyclomine hydrochloride
2,1.0,lubiprostone
3,2.0,mecamylamine hydrochloride
4,2.0,varenicline
5,2.0,darifenacin (hydrobromide)
6,2.0,revefenacin
7,2.0,procyclidine hydrochloride
8,3.0,carvedilol
9,3.0,amiodarone hydrochloride
10,4.0,cinnarizine
11,4.0,clemastine (fumarate)
12,4.0,antazoline
13,4.0,dimenhydrinate
14,4.0,hydroxyzine pamoate
15,4.0,betahistine hydrochloride
16,5.0,hydrocortisone 17-butyrate
17,5.0,hydrocortisone
18,5.0,istradefylline
19,5.0,naphazoline hydrochloride
20,5.0,naloxegol (oxalate)
21,5.0,hydrocortisone acetate
22,5.0,flunisolide
23,5.0,hydrocortisone hemisuccinate
24,5.0,methylprednisolone
25,5.0,lofexidine  hydrochloride
26,5.0,fluticasone (propionate)
27,5.0,mianserin hydrochloride
28,5.0,mometasone furoate
29,5.0,lemborexant
30,6.0,glyburide
31,6.0,gliclazide
32,6.0,chlorpropamide
33,6.0,glipizide
34,7.0,estradiol benzoate
35,7.0,estradiol cypionate
36,7.0,tamoxifen (citrate)
37,7.0,estradiol (cypionate)
38,7.0,ethynyl estradiol
39,7.0,estradiol
40,7.0,estradiol valerianate
41,8.0,ibuprofen
42,8.0,ibuprofen piconol
43,8.0,parecoxib
44,8.0,flurbiprofen
45,8.0,sodium salicylate
46,8.0,etoricoxib
47,8.0,indomethacin
48,8.0,naproxen
49,8.0,zileuton
50,9.0,cyclosporine
51,9.0,cyclosporin a
52,10.0,cefaclor
53,10.0,cefuroxime (sodium)
54,10.0,cefuroxime axetil
55,10.0,cefepime (dihydrochloride monohydrate)
56,10.0,piperacillin (sodium)
57,10.0,cefditoren (pivoxil)
58,10.0,amoxicillin (sodium)
59,10.0,amoxicillin
60,10.0,aztreonam
61,11.0,albuterol
62,12.0,nicardipine hydrochloride
63,12.0,nifedipine
64,12.0,amlodipine besylate
65,12.0,nisoldipine
66,13.0,metronidazole
67,13.0,moxifloxacin hydrochloride
68,13.0,ciprofloxacin
69,13.0,enoxacin
70,13.0,levofloxacin
71,13.0,acyclovir
72,13.0,nalidixic acid
73,13.0,famciclovir
74,14.0,ropinirole (hydrochloride)
75,14.0,pergolide (mesylate)
76,14.0,domperidone
77,14.0,amisulpride
78,15.0,umbralisib
79,16.0,rabeprazole (sodium)
80,16.0,lansoprazole
81,16.0,pantoprazole (sodium)
82,16.0,omeprazole
83,17.0,dapoxetine (hydrochloride)
84,17.0,palonosetron (hydrochloride)
85,17.0,ondansetron
86,17.0,sertraline (hydrochloride)
87,18.0,ranitidine (hydrochloride)
88,18.0,famotidine
89,19.0,dipyridamole
90,20.0,guanfacine hydrochloride
91,20.0,clonidine hydrochloride
92,20.0,clonidine (hydrochloride)
93,20.0,methyldopa
94,21.0,anagrelide (hydrochloride)
95,22.0,clindamycin (hydrochloride)
96,22.0,clarithromycin
97,22.0,azithromycin
98,22.0,clindamycin hydrochloride
99,23.0,sulfacetamide
100,23.0,sulfamethoxazole
101,23.0,sulfadiazine
102,23.0,dapsone
103,23.0,sulfamethizole
104,23.0,trimethoprim
105,24.0,fenofibric acid
106,24.0,fenofibrate
107,25.0,clopidogrel
108,26.0,indinavir (sulfate)
109,26.0,nelfinavir
110,26.0,lopinavir
111,26.0,darunavir
112,26.0,paritaprevir
113,26.0,ritonavir
114,27.0,fexofenadine hydrochloride
115,27.0,cyproheptadine (hydrochloride)
116,27.0,chlorpheniramine (maleate)
117,27.0,ketotifen (fumarate)
118,27.0,loratadine
119,27.0,cyproheptadine hydrochloride
120,28.0,tepotinib (emd 1214063)
121,28.0,capmatinib
