,cluster-label,drug
0,0.0,zolmitriptan
1,0.0,eletriptan (hydrobromide)
2,0.0,naratriptan (hydrochloride)
3,0.0,almotriptan
4,1.0,prednisolone
5,1.0,pitolisant (hydrochloride)
6,1.0,beclometasone dipropionate
7,1.0,betamethasone dipropionate
8,1.0,pancuronium (dibromide)
9,1.0,capsaicin
10,1.0,naphazoline hydrochloride
11,1.0,mometasone furoate
12,1.0,mianserin hydrochloride
13,1.0,methylprednisolone
14,1.0,lofexidine  hydrochloride
15,1.0,lemborexant
16,1.0,istradefylline
17,1.0,hydrocortisone hemisuccinate
18,1.0,hydrocortisone acetate
19,1.0,hydrocortisone 17-butyrate
20,1.0,hydrocortisone
21,1.0,deflazacort
22,1.0,dexamethasone
23,1.0,dexamethasone acetate
24,1.0,fluticasone (propionate)
25,1.0,flunisolide
26,1.0,atracurium besylate
27,1.0,aprepitant
28,1.0,naloxegol (oxalate)
29,1.0,tramadol hydrochloride
30,1.0,relugolix
31,1.0,vecuronium (bromide)
32,1.0,rimegepant
33,1.0,vortioxetine
34,2.0,neostigmine bromide
35,2.0,galanthamine
36,2.0,donepezil hydrochloride
37,3.0,tepotinib (emd 1214063)
38,3.0,duvelisib (ipi-145_ ink1197)
39,3.0,capmatinib
40,4.0,l-cycloserine
41,4.0,cycloserine (d)
42,5.0,metformin hydrochloride
43,5.0,fenofibric acid
44,5.0,fenofibrate
45,6.0,tasimelteon
46,6.0,agomelatine
47,7.0,tamoxifen (citrate)
48,7.0,sulfacetamide
49,7.0,estradiol (cypionate)
50,7.0,sulfamethoxazole
51,7.0,sulfadiazine
52,7.0,estradiol
53,7.0,sulfamethizole
54,7.0,dydrogesterone
55,7.0,ethynyl estradiol
56,7.0,pyrimethamine
57,7.0,estradiol valerianate
58,7.0,estradiol cypionate
59,7.0,estradiol benzoate
60,7.0,dapsone
61,7.0,trimethoprim
62,8.0,famotidine
63,8.0,ranitidine (hydrochloride)
64,8.0,azilsartan medoxomil
65,8.0,azilsartan
66,9.0,aminophylline
67,9.0,dobutamine (hydrochloride)
68,9.0,salmeterol
69,10.0,dicyclomine hydrochloride
70,10.0,mebeverine hydrochloride
71,10.0,propantheline bromide
72,11.0,dextromethorphan hydrobromide
73,11.0,riluzole
74,11.0,orphenadrine citrate
75,12.0,melatonin
