,cluster-label,drug
0,0.0,prasugrel
1,0.0,ticagrelor
2,0.0,clopidogrel sulfate
3,0.0,clopidogrel
4,0.0,treprostinil
5,1.0,nelfinavir
6,1.0,ritonavir
7,2.0,chlorothiazide
8,2.0,hydrochlorothiazide
9,3.0,mecamylamine hydrochloride
10,3.0,varenicline
11,4.0,sertraline (hydrochloride)
12,4.0,fluoxetine hydrochloride
13,5.0,sumatriptan
14,5.0,eletriptan (hydrobromide)
15,6.0,prednisolone
16,6.0,fluticasone (propionate)
17,7.0,cobicistat
18,7.0,dolutegravir
19,8.0,adenosine
20,8.0,regadenoson
21,9.0,isosorbide mononitrate
22,9.0,isosorbide dinitrate
23,10.0,metronidazole
24,10.0,etravirine
25,11.0,tasimelteon
26,11.0,ramelteon
27,12.0,rucaparib (ag-014699 or pf-01367338) phosphate
28,12.0,inosine
29,12.0,acyclovir
30,13.0,gemfibrozil
31,13.0,clofibrate
32,14.0,bromocriptine (mesylate)
33,14.0,pergolide (mesylate)
34,15.0,chlorpropamide
35,15.0,tolazamide
36,16.0,metaproterenol
37,16.0,carteolol hydrochloride
38,16.0,albuterol
39,16.0,salmeterol
40,17.0,pilocarpine nitrate
41,17.0,darifenacin (hydrobromide)
42,17.0,tolterodine (tartrate)
43,17.0,bethanechol chloride
44,17.0,propantheline bromide
45,17.0,solifenacin (succinate)
46,18.0,methazolamide
47,18.0,acetazolamide
48,19.0,liothyronine (sodium)
49,19.0,liothyronine
50,20.0,dexamethasone
51,20.0,hydrocortisone
52,21.0,dapsone
53,21.0,trimethoprim
54,21.0,pyrimethamine
55,22.0,moclobemide
56,22.0,(s)-rasagiline
57,22.0,venetoclax
58,22.0,safinamide
59,23.0,montelukast (sodium)
60,23.0,silibinin
61,23.0,zileuton
62,24.0,famotidine
63,24.0,ranitidine (hydrochloride)
64,24.0,nizatidine
65,25.0,minoxidil hydrochloride
66,25.0,minoxidil 
67,26.0,fenofibric acid
68,26.0,fenofibrate
69,27.0,buspirone hydrochloride
70,27.0,amisulpride
71,27.0,domperidone
72,27.0,trimethobenzamide hydrochloride
73,28.0,clarithromycin
74,28.0,darunavir
75,28.0,sulfamethizole
76,28.0,delavirdine (mesylate)
77,29.0,glipizide
78,29.0,repaglinide
79,30.0,naratriptan (hydrochloride)
80,30.0,rizatriptan benzoate
81,30.0,zolmitriptan
82,31.0,ruxolitinib (incb018424)
83,31.0,s-ruxolitinib (incb018424)
84,32.0,naproxen
85,32.0,ibuprofen piconol
86,33.0,clonidine (hydrochloride)
87,33.0,clonidine hydrochloride
88,34.0,lansoprazole
89,34.0,rabeprazole (sodium)
90,34.0,pantoprazole (sodium)
91,34.0,omeprazole
92,35.0,methyldopa
93,35.0,guanfacine (hydrochloride)
94,35.0,guanfacine hydrochloride
95,36.0,doxazosin mesylate
96,36.0,terazosin (hydrochloride dihydrate)
97,37.0,pretomanid
98,37.0,pyrazinamide
99,38.0,estradiol valerianate
100,38.0,estradiol benzoate
101,38.0,estradiol (cypionate)
102,38.0,estradiol cypionate
103,39.0,retinol
104,40.0,azilsartan medoxomil
105,40.0,azilsartan
106,41.0,nisoldipine
107,41.0,amlodipine besylate
108,42.0,sitagliptin
109,42.0,alogliptin (benzoate)
110,42.0,saxagliptin
111,42.0,linagliptin
112,43.0,pancuronium (dibromide)
113,44.0,ranolazine
114,44.0,ropivacaine
115,44.0,rilpivirine
116,45.0,glycopyrrolate
117,45.0,umeclidinium (bromide)
118,46.0,methocarbamol
119,46.0,acalabrutinib
120,46.0,meclizine hydrochloride
121,46.0,levamisole (hydrochloride)
122,46.0,lubiprostone
123,46.0,benoxinate hydrochloride
124,46.0,carbimazole
125,46.0,metolazone
126,46.0,benzonatate
127,46.0,levocarnitine propionate (hydrochloride)
128,46.0,telotristat
129,46.0,naloxegol (oxalate)
130,46.0,azithromycin
131,46.0,telotristat etiprate
132,46.0,tenofovir disoproxil
133,46.0,tepotinib (emd 1214063)
134,46.0,stiripentol
135,46.0,sofosbuvir
136,46.0,selexipag
137,46.0,tetrahydrozoline hydrochloride
138,46.0,amodiaquine (dihydrochloride dihydrate)
139,46.0,rimegepant
140,46.0,anagrelide (hydrochloride)
