,cluster-label,drug
0,0.0,lubiprostone
1,0.0,lumacaftor
2,0.0,meclizine hydrochloride
3,0.0,methocarbamol
4,0.0,metolazone
5,0.0,capsaicin
6,1.0,olanzapine
7,2.0,riluzole
8,3.0,spironolactone
9,4.0,aspirin
10,5.0,cyproheptadine (hydrochloride)
11,5.0,cyproheptadine hydrochloride
12,6.0,pergolide (mesylate)
13,7.0,dipyridamole
14,8.0,phentolamine hydrochloride
15,8.0,xylometazoline hydrochloride
16,9.0,clopidogrel
17,9.0,clopidogrel sulfate
18,9.0,prasugrel
19,9.0,ticagrelor
20,10.0,verapamil (hydrochloride)
21,11.0,dextromethorphan hydrobromide
22,12.0,epinastine
23,12.0,clemastine (fumarate)
24,12.0,hydroxyzine pamoate
25,12.0,azelastine hydrochloride
26,12.0,ketotifen (fumarate)
27,12.0,antazoline
28,12.0,fexofenadine hydrochloride
29,12.0,acrivastine
30,12.0,promethazine hydrochloride
31,12.0,dimenhydrinate
32,12.0,diphenhydramine hydrochloride
33,12.0,betahistine hydrochloride
34,12.0,doxylamine succinate
35,12.0,loratadine
36,13.0,pilocarpine nitrate
37,13.0,bethanechol chloride
38,13.0,darifenacin (hydrobromide)
39,13.0,propantheline bromide
40,13.0,solifenacin (succinate)
41,13.0,tolterodine (tartrate)
42,14.0,naratriptan (hydrochloride)
43,14.0,rizatriptan benzoate
44,14.0,zolmitriptan
45,15.0,clofibrate
46,16.0,guanfacine hydrochloride
47,16.0,methyldopa
48,16.0,guanfacine (hydrochloride)
49,17.0,retinol
50,18.0,nelfinavir
51,19.0,methylprednisolone
52,19.0,hydrocortisone 17-butyrate
53,19.0,hydrocortisone acetate
54,19.0,betamethasone dipropionate
55,19.0,prednisolone
56,19.0,mometasone furoate
57,19.0,deflazacort
58,19.0,flunisolide
59,20.0,tamoxifen (citrate)
60,21.0,sulfamethizole
61,21.0,clarithromycin
62,21.0,indinavir (sulfate)
63,21.0,darunavir
64,21.0,delavirdine (mesylate)
65,22.0,amlodipine besylate
66,22.0,nisoldipine
67,23.0,glyburide
68,24.0,phenelzine sulfate
69,25.0,bosutinib
70,26.0,acetylcysteine
71,27.0,esmolol (hydrochloride)
72,27.0,(s)-timolol (maleate)
73,27.0,atenolol
74,27.0,carvedilol
75,27.0,dobutamine (hydrochloride)
76,27.0,propranolol hydrochloride (+/-)
77,28.0,indomethacin
78,29.0,clonidine hydrochloride
79,29.0,clonidine (hydrochloride)
80,30.0,acetazolamide
81,31.0,adenosine
82,32.0,rufinamide
83,33.0,phenylephrine hydrochloride
84,33.0,silodosin
85,33.0,tamsulosin
86,33.0,phenylephrine (hydrochloride)
87,34.0,chlorothiazide
88,34.0,hydrochlorothiazide
89,35.0,linagliptin
90,35.0,sitagliptin
91,35.0,alogliptin (benzoate)
92,35.0,saxagliptin
93,36.0,melatonin
94,37.0,aminophylline
95,38.0,diclofenac
96,39.0,amiloride hydrochloride
97,40.0,glipizide
98,40.0,repaglinide
99,41.0,vortioxetine
100,42.0,biotin
101,43.0,progesterone
102,44.0,genistein
103,45.0,amoxicillin
104,45.0,amoxicillin (sodium)
105,46.0,pentoxifylline
106,47.0,orlistat
107,48.0,ranitidine (hydrochloride)
108,48.0,nizatidine
109,48.0,famotidine
110,49.0,iloprost
111,50.0,l-ascorbic acid
112,50.0,moxifloxacin hydrochloride
113,50.0,enoxacin
114,50.0,levofloxacin
115,50.0,ciprofloxacin
116,51.0,alendronate sodium
117,52.0,mecamylamine hydrochloride
118,53.0,estradiol (cypionate)
119,53.0,estradiol benzoate
120,53.0,estradiol cypionate
121,53.0,estradiol valerianate
122,54.0,niacin
123,55.0,minoxidil 
124,55.0,minoxidil hydrochloride
125,56.0,dexamethasone
126,56.0,hydrocortisone
127,57.0,umeclidinium (bromide)
128,58.0,sulfadiazine
129,59.0,agomelatine
130,60.0,mepenzolate bromide
131,60.0,clidinium bromide
132,60.0,mebeverine hydrochloride
133,61.0,nifedipine
134,62.0,terazosin (hydrochloride dihydrate)
135,62.0,doxazosin mesylate
136,63.0,moclobemide
137,63.0,(s)-rasagiline
138,63.0,safinamide
139,64.0,amantadine hydrochloride
140,65.0,diazoxide
141,66.0,furosemide
142,67.0,sildenafil citrate
143,68.0,lansoprazole
144,69.0,buspirone hydrochloride
145,70.0,duvelisib (ipi-145_ ink1197)
146,71.0,isosorbide dinitrate
147,71.0,isosorbide mononitrate
148,72.0,cysteamine hydrochloride
149,72.0,dapsone
150,72.0,pyrimethamine
151,72.0,trimethoprim
152,73.0,azilsartan
153,73.0,azilsartan medoxomil
154,74.0,fenofibrate
155,74.0,fenofibric acid
156,75.0,salmeterol
157,75.0,metaproterenol
158,75.0,carteolol hydrochloride
159,75.0,albuterol
160,76.0,acetaminophen
161,77.0,cobicistat
162,78.0,ibuprofen piconol
163,78.0,naproxen
164,79.0,ruxolitinib (incb018424)
165,79.0,s-ruxolitinib (incb018424)
166,80.0,dapoxetine (hydrochloride)
167,81.0,liothyronine (sodium)
168,81.0,liothyronine
169,82.0,tolbutamide
170,83.0,acyclovir
171,83.0,inosine
172,83.0,rucaparib (ag-014699 or pf-01367338) phosphate
173,84.0,apremilast
174,85.0,silibinin
175,85.0,montelukast (sodium)
176,85.0,zileuton
177,86.0,folic acid
178,87.0,eplerenone
179,87.0,anagrelide (hydrochloride)
180,87.0,cycloserine (d)
181,87.0,aprepitant
182,87.0,amodiaquine (dihydrochloride dihydrate)
183,87.0,erlotinib (hydrochloride)
184,87.0,guaifenesin
185,87.0,glucosamine hydrochloride
186,87.0,galanthamine
187,87.0,fostamatinib (r788)
188,87.0,butenafine (hydrochloride)
189,87.0,gluconolactone
190,87.0,levamisole (hydrochloride)
191,87.0,gefitinib (zd1839)
192,87.0,guanethidine
193,87.0,guaiacol
194,87.0,hexylresorcinol
195,87.0,levocarnitine propionate (hydrochloride)
196,88.0,bumetanide
197,89.0,pancuronium (dibromide)
198,90.0,pretomanid
199,90.0,pitolisant (hydrochloride)
200,90.0,pyrazinamide
201,91.0,benzoic acid
202,92.0,rilpivirine
203,92.0,ropivacaine
204,92.0,ranolazine
205,93.0,moxonidine
206,93.0,naphazoline hydrochloride
207,94.0,amiodarone hydrochloride
208,95.0,indapamide
209,96.0,naloxegol (oxalate)
210,96.0,palonosetron (hydrochloride)
211,96.0,nicardipine (hydrochloride)
212,96.0,nicorandil
213,96.0,nifurtimox
214,96.0,ondansetron
215,97.0,sucrose
216,98.0,alfuzosin hydrochloride
217,99.0,urea
218,100.0,cimetidine
219,101.0,bendroflumethiazide
220,102.0,mianserin hydrochloride
221,103.0,rivaroxaban
222,103.0,edoxaban
223,103.0,apixaban
224,104.0,voriconazole
225,105.0,gemfibrozil
226,106.0,chlorpropamide
227,107.0,probucol
228,108.0,treprostinil
229,109.0,istradefylline
230,110.0,decitabine
231,110.0,triclabendazole
232,111.0,isradipine
233,112.0,sertraline (hydrochloride)
234,113.0,etravirine
235,114.0,enalaprilat (dihydrate)
236,114.0,dydrogesterone
237,114.0,donepezil hydrochloride
238,114.0,neostigmine bromide
239,115.0,probenecid
240,116.0,thiamine
241,117.0,chlorthalidone
242,118.0,triamterene
243,119.0,oseltamivir (phosphate)
244,120.0,aminocaproic acid hydrochloride
245,121.0,bromocriptine (mesylate)
246,121.0,cabergoline
247,122.0,(s)-(+)-ibuprofen
248,123.0,prazosin hydrochloride
249,124.0,fluoxetine hydrochloride
250,125.0,telotristat
251,125.0,terbinafine hydrochloride
252,125.0,sofosbuvir
253,125.0,tetrahydrozoline hydrochloride
254,125.0,tenofovir disoproxil
255,125.0,selexipag
256,125.0,tiagabine (hydrochloride)
257,125.0,tazemetostat
258,125.0,tepotinib (emd 1214063)
259,125.0,telotristat etiprate
260,125.0,rimegepant
261,125.0,parecoxib
262,125.0,stiripentol
263,125.0,prucalopride (succinate)
264,125.0,venetoclax
265,125.0,vecuronium (bromide)
266,126.0,miconazole nitrate
267,127.0,tasimelteon
268,127.0,ramelteon
269,128.0,levetiracetam
270,129.0,fluticasone (propionate)
271,130.0,chlorzoxazone
272,131.0,metronidazole
273,132.0,ezetimibe
274,133.0,disulfiram
275,134.0,lidocaine hydrochloride
276,135.0,febuxostat
277,135.0,eugenol
278,135.0,fluorescein
279,135.0,felodipine
280,135.0,allopurinol
281,136.0,celecoxib
282,137.0,mebendazole
283,138.0,papaverine hydrochloride
284,139.0,regadenoson
285,140.0,etoricoxib
286,140.0,ethambutol hydrochloride
287,140.0,praziquantel
288,141.0,tadalafil
289,142.0,ritonavir
290,143.0,dolutegravir
291,144.0,metformin hydrochloride
292,145.0,estradiol
293,146.0,oxymetazoline hydrochloride
294,147.0,uridine
295,148.0,varenicline
296,149.0,bupivacaine hydrochloride
297,150.0,pindolol
298,151.0,lemborexant
299,152.0,hesperidin
300,153.0,umbralisib
301,154.0,eletriptan (hydrobromide)
302,155.0,ropinirole (hydrochloride)
303,156.0,reserpine
304,157.0,methazolamide
305,158.0,tirofiban (hydrochloride monohydrate)
306,159.0,carbimazole
307,159.0,carglumic acid
308,159.0,cinacalcet
309,159.0,chloroquine phosphate
310,160.0,almotriptan
311,161.0,sumatriptan
312,162.0,amisulpride
313,162.0,trimethobenzamide hydrochloride
314,162.0,domperidone
315,163.0,tolazamide
316,164.0,pantoprazole (sodium)
317,164.0,rabeprazole (sodium)
318,164.0,omeprazole
319,165.0,pioglitazone hydrochloride
320,166.0,glycopyrrolate
321,167.0,belumosudil
322,167.0,benzonatate
323,167.0,azithromycin
324,167.0,acalabrutinib
325,167.0,benoxinate hydrochloride
326,168.0,zafirlukast
327,169.0,pirfenidone
328,,clindamycin hydrochloride
329,,fampridine
330,,mefloquine
331,,gramicidin (gramicidin a shown)
332,,cromolyn (sodium)
333,,beclometasone dipropionate
334,,lopinavir
335,,cyclosporine
336,,l-cycloserine
337,,sulfamethoxazole
338,,tedizolid
339,,valacyclovir (hydrochloride)
340,,sulfacetamide
341,,vitamin k1
342,,dasabuvir
343,,tezacaftor
344,,osilodrostat
345,,fusidic acid
346,,moxidectin
347,,rapamycin
348,,pyridostigmine bromide
349,,nitisinone
350,,sodium salicylate
351,,rimantadine hydrochloride
352,,niacinamide
353,,(+)-camphor
354,,torsemide
355,,amifampridine
356,,flurbiprofen
357,,cefuroxime (sodium)
358,,lofexidine  hydrochloride
359,,cetylpyridinium chloride
360,,emtricitabine
361,,theophylline
