,cluster-label,drug
0,0.0,progesterone
1,1.0,amlodipine besylate
2,1.0,nisoldipine
3,1.0,azelastine hydrochloride
4,1.0,loratadine
5,1.0,promethazine hydrochloride
6,1.0,ketotifen (fumarate)
7,1.0,betahistine hydrochloride
8,1.0,fexofenadine hydrochloride
9,1.0,acrivastine
10,1.0,antazoline
11,1.0,dimenhydrinate
12,1.0,diphenhydramine hydrochloride
13,1.0,epinastine
14,1.0,clemastine (fumarate)
15,1.0,doxylamine succinate
16,1.0,hydroxyzine pamoate
17,1.0,nifedipine
18,2.0,liothyronine
19,2.0,liothyronine (sodium)
20,3.0,nizatidine
21,3.0,famotidine
22,3.0,cimetidine
23,3.0,ranitidine (hydrochloride)
24,4.0,eletriptan (hydrobromide)
25,4.0,sumatriptan
26,5.0,zileuton
27,5.0,montelukast (sodium)
28,5.0,silibinin
29,6.0,ropinirole (hydrochloride)
30,7.0,probucol
31,7.0,oseltamivir (phosphate)
32,7.0,guaifenesin
33,8.0,clidinium bromide
34,8.0,mebeverine hydrochloride
35,8.0,ondansetron
36,8.0,palonosetron (hydrochloride)
37,8.0,mepenzolate bromide
38,9.0,isosorbide dinitrate
39,9.0,isosorbide mononitrate
40,10.0,amoxicillin
41,10.0,amoxicillin (sodium)
42,11.0,minoxidil 
43,11.0,minoxidil hydrochloride
44,12.0,ritonavir
45,12.0,nelfinavir
46,13.0,doxazosin mesylate
47,13.0,terazosin (hydrochloride dihydrate)
48,14.0,gemfibrozil
49,14.0,clofibrate
50,15.0,acetazolamide
51,15.0,methazolamide
52,16.0,pentoxifylline
53,17.0,ruxolitinib (incb018424)
54,17.0,s-ruxolitinib (incb018424)
55,18.0,hydrocortisone
56,18.0,dexamethasone
57,19.0,ibuprofen piconol
58,19.0,celecoxib
59,19.0,naproxen
60,20.0,selexipag
61,20.0,eplerenone
62,20.0,pioglitazone hydrochloride
63,20.0,galanthamine
64,20.0,fostamatinib (r788)
65,20.0,pitolisant (hydrochloride)
66,20.0,folic acid
67,20.0,parecoxib
68,20.0,fluorescein
69,20.0,probenecid
70,20.0,papaverine hydrochloride
71,20.0,sofosbuvir
72,20.0,felodipine
73,20.0,sildenafil citrate
74,20.0,pancuronium (dibromide)
75,20.0,ezetimibe
76,20.0,eugenol
77,20.0,nifurtimox
